,costToReach,items
The Haunted Wine Cellar,0,"['actual tapas (0)', 'bottle of Chateau de Vinegar (c0)', 'tarnished tastevin (3)', ""sommelier's towel (3)"", 'wine-soaked bone chips (c0)', 'ghost accordion (a0)', 'pie man was not meant to eat (10)', 'crazy hobo notebook (10)', 'Psychotic Train wine (10)', 'page of the Necrohobocon (c15)', ""Unfortunato's foolscap (c100)""]"
The Haunted Kitchen,0,"['accidental cider (0)', 'ancient frozen dinner (30)', 'dire fudgesicle (0)', 'leftovers of indeterminate origin (40)', 'hand grenegg (p20)', 'cardboard katana (5)', 'antique packet of ketchup (0)', 'corn holder (15)', 'eggbeater (4)', 'bottle of popskull (30)', 'dishrag (5)', ""Skullery Maid's Knee (c0)"", 'bottle of cooking sherry (30)', ""chef's hat (5)"", 'fricasseed brains (20)', 'stale baguette (30)', 'zombie hollandaise (c0)', 'frigid derringer (c100)']"
A Massive Ziggurat,0,"['exotic jungle fruit (0)', 'ancient amulet (100)', 'spectre scepter (100)']"
The Goatlet,0,"[""glass of goat's milk (20)"", 'goat cheese (40)', 'Shivering Ch&egrave;vre (c0)', 'bottle of whiskey (25)', 'goat beard (5)', 'goat beard (5)', 'sabre teeth (5)']"
The Haunted Boiler Room,0,"['coal dust (15)', 'hot coal (10)', 'hot coal (10)', 'coal shovel (5)', 'chunk of hot iron (0)', 'red hot boilermaker (0)', ""Bram's choker (100)""]"
The Haunted Billiards Room,0,"['handful of hand chalk (100)', '1-ball (3)', '2-ball (3)', '3-ball (3)', '4-ball (3)', '5-ball (3)', '6-ball (3)', '7-ball (3)', '8-ball (15)', '17-ball (100)', 'cube of billiard chalk (100)', '17-ball (100)']"
An Overgrown Shrine (Southwest),0,['exotic jungle fruit (0)']
The Hedge Maze,0,[]
A Mob of Zeppelin Protesters,0,"['fire of unknown origin (15)', 'black blade (5)', 'cigarette lighter (15)', 'blue oyster badge (c0)', ""eagle's milk (20)"", 'eagle feather (15)', 'fleetwood chain (20)', 'Green Manalishi (20)', 'flask of rainwater (c0)', 'one pill (25)', 'Jefferson wings (5)', 'plastic Jefferson wings (c0)', 'sweet roll Alabama (25)', 'Saturday Night Special (5)', 'lynyrd snare (15)', 'lynyrd musk (25)', 'lynyrd skinner toothblack (c0)', ""The Nuge's favorite crossbow (100)""]"
An Overgrown Shrine (Southeast),0,['exotic jungle fruit (0)']
The Haunted Library,0,"['disintegrating quill pen (20)', 'killing jar (10)', 'tattered scrap of paper (15)', 'disintegrating quill pen (15)', 'inkwell (30)', 'snifter of thoroughly aged brandy (30)']"
An Overgrown Shrine (Northwest),0,['exotic jungle fruit (0)']
The Middle Chamber,0,"['unidentified jerky (12)', 'charming flute (7)', 'tomb ratchet (c20)', 'leathery rat skin (30)', 'unidentified jerky (12)', 'tomb ratchet (c20)', 'tomb ratchet (c20)', 'tomb ratchet (c20)', 'leathery rat skin (0)', 'leathery rat skin (0)', 'leathery rat skin (0)', 'unidentified jerky (0)', 'unidentified jerky (0)', 'unidentified jerky (0)', 'canopic jar (30)', 'ancient protein powder (15)', 'mummy wrapping (20)', 'unidentified jerky (12)', 'ancient ice cream scoop (5)', 'secret mummy herbs and spices (c10)']"
An Overgrown Shrine (Northeast),0,['exotic jungle fruit (0)']
The Haunted Laundry Room,0,"['fabric softener (15)', 'bottle of laundry sherry (15)', 'bloodstain stick (20)', 'fabric hardener (15)', 'blasting soda (c0)', 'plaid swatch (20)', 'extra-flat panini (15)', 'industrial strength starch (15)', 'mangled finger (5)']"
The Hatching Chamber,0,['filthworm hatchling scent gland (10)']
The Haunted Bedroom,0,"['antique hand mirror (40)', 'gilt perfume bottle (c0)']"
The Haunted Ballroom,0,"['dehydrated caviar (30)', 'desiccated apricot (30)', 'flute of flat champagne (30)', ""hors d'oeuvre tray (4)"", 'opera mask (20)', 'ballroom blintz (15)', 'dance card (15)', 'tap shoes (5)', 'worn tophat (5)', ""janglin' bones (c0)""]"
The Hidden Apartment Building,0,"['all-purpose cleaner (10)', 'book of matches (20)', 'jungle floor wax (25)', 'short-handled mop (10)', ""attorney's badge (15)"", 'short writ of habeas corpus (5)', 'pygmy briefs (5)', 'short deposition (c0)', 'adder (20)', 'bone abacus (5)', 'short calculator (5)', 'McClusky file (page 1) (c100)', 'McClusky file (page 2) (c100)', 'McClusky file (page 3) (c100)', 'McClusky file (page 4) (c100)', 'McClusky file (page 5) (c100)', 'pygmy adder oil (c0)', 'colorful toad (20)', 'crude voodoo doll (5)', 'smirking shrunken head (15)', 'voodoo glowskull (c0)', 'moss-covered stone sphere (c100)']"
The Hidden Hospital,0,"['all-purpose cleaner (10)', 'book of matches (20)', 'jungle floor wax (25)', 'short-handled mop (10)', 'compression stocking (15)', 'midriff scrubs (5)', 'pill cup (25)', 'bloodied surgical dungarees (c100)', 'half-size scalpel (c100)', 'head mirror (c100)', 'surgical apron (c100)', 'surgical mask (c100)', 'tongue depressor (5)', 'bag of pygmy blood (20)', 'sphygmomanometer (20)', 'pygmy witchhazel (c0)', 'dripping stone sphere (c100)']"
The Daily Dungeon,0,"['flavorless gruel (n100)', 'zombie pineal gland (0)', 'mana curds (n100)', 'clutch of dodecapede eggs (n100)', 'giant giant moth dust (n100)', 'glob of spoiled mayo (n100)', 'pencil stub (n100)', 'twist of lime (n100)', 'tonic djinn (n100)', 'vampire chowder (100)', 'vampire pearl (p35)']"
The Dark Elbow of the Woods,0,"['demon skin (15)', 'hot katana blade (30)', 'ninja hot pants (5)', 'hot wing (30)', 'Imp Ale (30)', 'leather mask (5)', 'vitamin G pill (0)', 'Imp Ale (30)', 'cast (30)', 'flaming crutch (30)']"
The Hole in the Sky,0,"['star chart (100)', 'star chart (100)', 'line (30)', 'line (30)', 'star (30)', 'line (30)', 'line (30)', 'star (30)', 'star (30)', 'star (30)', 'star (30)', 'line (30)', 'star (30)', 'star (30)', 'eternal car battery (n100)', 'line (30)', 'line (30)', 'star (30)', 'line (30)', 'star (30)', 'star (30)', 'star (30)', 'star (30)', 'line (30)', 'line (30)', 'line (30)', 'line (30)', 'line (30)', 'line (30)', 'star (30)', 'star (30)', 'line (30)', 'line (30)', 'star (30)', 'line (30)', 'star (30)', 'star (30)', 'line (30)', 'line (30)', 'line (30)', 'handful of crafty noodles (c0)', 'handful of crafty noodles (c0)', 'star (30)', 'star (30)', 'star (30)', 'line (30)', 'line (30)', 'star (30)', 'star (30)', 'line (30)', 'line (30)', 'star (30)', 'line (30)', 'star (30)', 'star (30)', 'line (30)', 'star (30)', 'star (30)', 'line (30)', 'line (30)', 'star (30)', 'The Eye of the Stars (n100)']"
Cobb's Knob Harem,0,"['Knob Goblin deluxe scimitar (10)', 'Knob nuts (15)', 'excitement pill (0)', 'disease (10)', 'Knob Goblin harem veil (20)', 'Knob Goblin harem pants (20)', 'finger cymbals (5)', 'harem girl t-shirt (c2)', 'Knob Goblin perfume (25)', 'whalebone corset (15)']"
Cobb's Knob Barracks,0,"[""Cobb's Knob Wurstbrau (15)"", 'Knob Goblin elite helm (10)', 'Knob Goblin elite pants (10)', 'Knob Goblin elite shirt (10)', 'knob bugle (10)', 'Knob Goblin elite helm (100)', 'Knob Goblin elite pants (100)', 'Knob Goblin elite polearm (100)', ""Cobb's Knob Wurstbrau (15)"", 'Knob Goblin elite pants (10)', 'Knob Goblin elite polearm (10)', 'Knob Goblin elite shirt (10)', 'knob bugle (10)', 'Knob Goblin elite helm (5)', 'Knob Goblin elite pants (5)', 'Knob Goblin elite polearm (5)', 'knob bugle (5)', 'Knob Goblin elite shirt (c5)', ""Cobb's Knob Wurstbrau (15)"", 'Knob Goblin elite pants (10)', 'Knob Goblin elite polearm (10)', 'Knob Goblin elite shirt (10)', 'knob bugle (10)']"
The Dark Heart of the Woods,0,"['demon skin (15)', 'evil golden arch (30)', 'infernal insoles (10)', 'pink slime (0)', 'heavy-duty bendy straw (c0)', 'hot wing (30)', 'Imp Ale (30)', 'leather mask (5)', 'vitamin G pill (0)', 'Imp Ale (30)', 'hot wing (30)', 'diamond-studded cane (5)']"
The Dark Neck of the Woods,0,"['hellion cube (30)', 'unstable quark (p20)', 'accord ion (a0)', 'Imp Ale (30)', 'hot wing (30)', 'diamond-studded cane (5)', 'Imp Ale (30)', 'ruby W (30)', 'wussiness potion (30)', 'infernal fife (10)']"
The Hidden Bowling Alley,0,"['all-purpose cleaner (10)', 'book of matches (20)', 'jungle floor wax (25)', 'short-handled mop (10)', 'compression stocking (15)', 'midriff scrubs (5)', 'pill cup (25)', 'cold water bottle (0)', 'gold Boozehounds Anonymous token (0)', 'pygmy phone number (0)', 'pygmy concertinette (a0)', 'bowling ball (40)', 'imitation White Russian (25)', 'tiny bowler (5)', 'scorched stone sphere (c100)']"
"The Shore, Inc. Travel Agency",0,[]
A-Boo Peak,0,"['A-Boo clue (c15)', 'Battlie Light Saver (15)', 'Whoompa Fur Pants (5)', 'ectoplasmic orbs (0)', 'A-Boo clue (c15)', 'Polysniff Perfume (15)', 'Claybender glasses (5)', 'folder (wizard) (c0)', 'A-Boo clue (c15)', 'Duskwalker syringe (15)', 'Duskwalker fangs (5)', 'ectoplasmic orbs (0)', 'A-Boo clue (c15)', 'Space Tours Tripple (15)', 'Space Tourist Phaser (5)', 'ectoplasmic orbs (0)', 'A-Boo clue (c15)', 'T.U.R.D.S. Key (15)', 'Whatsian Ionic Pliers (5)', 'ectoplasmic orbs (0)']"
The Defiled Cranny,0,"['ghuol ears (20)', 'ghuol egg (20)', 'dieting pill (10)', 'ghuol ears (10)', 'ghuol egg (10)', 'ghuol guolash (20)', 'huge spoon (5)', 'ghuol ears (0)', 'ghuol egg (0)']"
The Defiled Niche,0,"['salacious crumbs (0)', 'lihc eye (20)', 'lihc face (9)', 'shimmering tendrils (c5)', 'lihc eye (20)', 'lihc face (7)', 'shimmering tendrils (c5)', 'lihc eye (0)', 'lihc eye (0)', 'lihc face (0)']"
The Defiled Nook,0,"['skeleton bone (40)', 'smart skull (50)', 'spiked femur (10)', 'succulent marrow (0)', 'evil eye (20)', 'skelelton spine (c0)', 'loose teeth (20)', 'loose teeth (20)', 'skeleton bone (20)', 'bone flute (10)', 'evil eye (20)', 'bone bandoneon (a0)', 'skeleton bone (0)', 'skeleton bone (0)', 'skeleton bone (0)']"
The Hidden Temple,0,"['stone wool (25)', 'shiny stones (100)', 'ancient poisoned dart (35)', 'eyepatch (15)', 'stone wool (100)', 'stone wool (50)', 'stone wool (20)']"
8-Bit Realm,0,"['white pixel (80)', 'white pixel (70)', 'white pixel (60)', 'black pixel (70)', 'black pixel (70)', 'black pixel (70)', 'black pixel (50)', 'white pixel (50)', 'red pixel (65)', 'black pixel (50)', 'red pixel (80)', 'white pixel (50)', 'blue pixel (80)', 'blue pixel (70)', 'blue pixel (60)', 'black pixel (50)', 'green pixel (80)', 'white pixel (50)', 'red pixel (80)', 'red pixel (70)', 'red pixel (60)', 'black pixel (50)', 'blue pixel (80)', 'white pixel (50)', 'green pixel (80)', 'green pixel (70)', 'green pixel (60)']"
The Hidden Park,0,"['long pork (30)', 'big bad voodoo mask (5)', 'pygmy blowgun (30)', 'pygmy nose-bone (10)', 'pygmy dart (c10)', 'bottle of alcohol (40)', 'pygmy pygment (25)', 'pygmy spear (5)', 'jungle drum (10)', ""attorney's badge (15)"", 'short writ of habeas corpus (5)', 'pygmy briefs (5)', 'short deposition (c0)', 'all-purpose cleaner (10)', 'book of matches (20)', 'jungle floor wax (25)', 'short-handled mop (10)']"
The Hidden Office Building,0,"['all-purpose cleaner (10)', 'book of matches (20)', 'jungle floor wax (25)', 'short-handled mop (10)', ""attorney's badge (15)"", 'short writ of habeas corpus (5)', 'pygmy briefs (5)', 'short deposition (c0)', 'adder (20)', 'bone abacus (5)', 'short calculator (5)', 'McClusky file (page 1) (c100)', 'McClusky file (page 2) (c100)', 'McClusky file (page 3) (c100)', 'McClusky file (page 4) (c100)', 'McClusky file (page 5) (c100)', 'pygmy adder oil (c0)', 'briefcase (60)', 'headhunter necktie (5)', 'pointed stick (10)', ""world's smallest violin (5)"", 'pygmy papers (c20)', 'crackling stone sphere (c100)']"
The Defiled Alcove,0,"['cranberries (25)', 'cranberries (15)', 'loose teeth (10)', 'Grateful Undead T-shirt (c1)', 'paranormal ricotta (c0)', 'coffin lid (3)', ""dead guy's watch (10)"", 'loose teeth (10)', 'rusty grave robbing shovel (10)', 'paranormal ricotta (c0)', 'cranberries (29)', 'cranberries (8)', 'loose teeth (8)']"
The Haunted Bathroom,0,"['bottle of Monsieur Bubble (25)', 'fancy bath salts (35)', 'gob of wet hair (40)', 'cardboard wakizashi (5)', 'roll of toilet paper (50)', 'guy made of bee pollen (100)', 'handful of bees (p10)', ""Lady Spookyraven's powder puff (c100)"", 'old eyebrow pencil (0)', 'old rosewater cream (0)', 'old bronzer (0)']"
The Haunted Laboratory,2,"['electric snakebite (0)', 'haunted battery (0)', ""Jacob's rung (0)"", 'synthetic marrow (0)', 'rubber ribcage (0)', 'funny bone (0)', 'gunky chicken (0)', 'the funk (0)', 'half-melted spoon (0)', ""Stephen's secret formula (100)"", ""Stephen's lab coat (100)""]"
The Cursed Village,2,['Rubee&trade; (n100)']
The Haunted Nursery,2,"['droopy doll eye (0)', 'creepy doll head (0)', 'creepy voice box (0)', 'haunted paddle-ball (0)', 'spooky sound effects record (0)', 'spooky alphabet block (0)', 'spooky music box mechanism (0)', 'tiny dancer (0)']"
The Towering Mountains,2,['Rubee&trade; (n100)']
The Haunted Pantry,2,"['razor-sharp can lid (45)', 'tomato (60)', 'possessed tomato (p15)', 'folder (yellow) (c0)', 'asparagus knife (20)', 'stalk of asparagus (40)', 'razor-sharp can lid (40)', 'meat paste (40)', 'meat paste (40)', 'meat paste (40)', 'meat paste (40)', 'meat paste (40)', 'meat paste (40)', 'meat paste (40)', 'meat paste (40)', 'meat paste (40)', 'magicalness-in-a-can (25)', 'quasi-ethereal macaroni fragments (c0)']"
The Hippy Camp (Bombed Back to the Stone Age),2,"['stone frisbee (20)', 'dreadlock whip (10)', 'handful of pine needles (20)', 'Spanish fly (c25)', 'handful of pine needles (20)', 'handful of nuts and berries (20)', 'Spanish fly (c25)', 'sabre teeth (25)', 'Spanish fly (c25)']"
The Thinknerd Warehouse,2,"['amok pudding (0)', 'amok putter (0)', 'robot grease (0)', 'returned Thinknerd package (c0)', 'robot grease (0)', 'returned Thinknerd package (c0)', 'robot grease (0)', 'returned Thinknerd package (c0)']"
The Haunted Storage Room,2,"['moose antlers (5)', 'moose chocolate (15)', 'moose thought (15)', 'painting of a glass of wine (15)', 'ornate picture frame (15)', 'ancient oil painting of yourself (5)', 'ghost key (15)', 'sheet cake (15)', 'ghost toga (5)']"
Pandamonium Slums,2,"['demon skin (15)', 'hot katana blade (30)', 'ninja hot pants (5)', 'demon skin (15)', 'evil golden arch (30)', 'infernal insoles (10)', 'pink slime (0)', 'heavy-duty bendy straw (c0)', 'hot wing (30)', 'Imp Ale (30)', 'leather mask (5)', 'vitamin G pill (0)', 'hellion cube (30)', 'unstable quark (p20)', 'accord ion (a0)', 'Imp Ale (30)', 'cast (30)', 'flaming crutch (30)', 'Imp Ale (30)', 'hot wing (30)', 'diamond-studded cane (5)', 'Imp Ale (30)', 'ruby W (30)', 'wussiness potion (30)', 'infernal fife (10)', 'hypnodisk (100)']"
Noob Cave,2,[]
The Obligatory Pirate's Cove,2,"['crowbarrr (10)', 'flaregun (30)', 'sunken chest (15)', 'swashbuckling pants (10)', 'bottle of rum (50)', 'eyepatch (10)', 'flaregun (30)', 'Jolly Roger charrrm bracelet (20)', 'safarrri hat (10)', 'arrrgyle socks (10)', 'flaregun (30)', 'sunken chest (30)', 'leotarrrd (10)', 'pirate pelvis (20)', 'stuffed shoulder parrot (10)']"
The Overgrown Lot,2,"['unflavored wine cooler (0)', 'unflavored wine cooler (0)', 'mostly-broken sunglasses (0)', 'handful of stubble (c0)', 'jaunty feather (0)', 'pigeon egg (0)', 'premium malt liquor (0)', 'premium malt liquor (0)', 'brown paper bag mask (0)', 'brown paper pants (0)', 'carton of snake milk (0)', 'carton of snake milk (0)', 'sewer snake (0)', ""The Lot's engagement ring (n100)"", 'haunted bindle (c100)']"
The Degrassi Knoll Bakery,2,"['Gnollish pie server (25)', 'Gnollish pie tin (50)', 'wad of dough (50)', 'skewer (50)', 'Gnollish slotted spoon (28)', 'Knoll mushroom (50)', 'Knoll mushroom (50)', 'skewer (50)', 'bugbear beanie (25)', 'bugbear bungguard (25)']"
The Degrassi Knoll Garage,2,"['Gnollish toolbox (75)', 'gnoll lips (5)', 'folder (Knight Writer) (c0)', 'Gearhead Goo (c0)', 'gnoll teeth (5)', 'gnoll lips (5)', 'tires (100)', 'bugbear beanie (25)', 'bugbear bungguard (25)']"
The Degrassi Knoll Gym,2,"['gnoll teeth (5)', 'frilly skirt (25)', 'maiden wig (25)', 'frilly shirt (c5)', 'Gnollish Crossdress (c0)', 'gnoll teeth (5)', 'gnoll lips (5)', 'enchanted barbell (0)', 'eyepatch (5)', 'gnoll teeth (5)', 'glass gnoll eye (p5)', 'Missing Eye Simulation Device (c0)']"
The Bat Hole Entrance,2,"['batgut (10)', 'bat guano (10)', 'bat wing (15)', 'Pine-Fresh air freshener (15)', 'batgut (15)', 'bat guano (15)', 'batgut (15)', 'bat wing (15)']"
The Barrel Full of Barrels,2,[]
The Degrassi Knoll Restroom,2,"['gnoll teeth (5)', 'gnoll lips (5)', 'Gnollish flyswatter (25)', 'Enchanted Flyswatter (c0)', 'Gnollish plunger (25)', 'gnoll lips (5)', 'gnoll teeth (5)', 'Enchanted Plunger (c0)', 'bugbear beanie (25)', 'bugbear bungguard (25)']"
The Dire Warren,2,['bunny liver (0)']
The Haunted Conservatory,2,"['meat stack (35)', 'pocket theremin (10)', 'clove-flavored lip balm (c0)', 'pile of dusty animal bones (100)', 'pile of dusty animal bones (100)', 'tiny canopic jar (c0)', 'pile of dusty animal bones (100)', 'skeletal banana (c0)', 'Spookyraven signet (c100)']"
The Edge of the Swamp,2,"['delicious swamp muck (0)', 'huge mosquito proboscis (0)', 'delicious swamp muck (0)', 'swamp lolly (0)', 'delicious swamp muck (0)', 'decomposed boot (0)']"
The Enormous Greater-Than Sign,2,"['lowercase a (5)', 'percent sign (25)', 'left parenthesis (15)', 'left bracket (15)', 'left parenthesis (20)', 'percent sign (25)', 'equal sign (15)', 'left parenthesis (40)', 'left parenthesis (40)', 'right parenthesis (10)', 'dollar sign (p20)']"
The eXtreme Slope,2,"['eXtreme mittens (0)', 'Mountain Stream soda (0)', 'gr8ps (40)', 'sk8board (5)', 't8r tots (40)', 'folder (space skeleton) (c0)', 'eXtreme scarf (10)', 'Mountain Stream soda (30)', 'enchanted handwarmer (p5)', 'enchanted muesli (c0)', 'Mountain Stream soda (30)', 'snowboarder pants (10)', 'enchanted handwarmer (p5)', 'eXtreme Bi-Polar Fleece Vest (c5)']"
South of the Border,2,"['pile of candy (100)', 'bottle of tequila (30)', 'chorizo taco (20)', 'handsomeness potion (20)', 'bottle of tequila (35)', 'irate sombrero (20)', 'mariachi G-string (30)', 'half-sized guitar (20)', 'bottle of tequila (30)', 'marzipan skull (30)', 'calavera concertina (p5)', 'pile of jumping beans (50)', 'can of Red Minotaur (30)', 'boxing glove (0)', 'boxing glove (0)', 'bull blubber (c0)']"
The Haiku Dungeon,2,"['bargain flash powder (20)', 'cheap plastic blowgun (10)', 'third-hand nunchaku (10)', 'Bash-&#332;s cereal (15)', 'bottle of sake (25)', 'haiku challenge map (c0)', 'little round pebble (p55)', 'Fu Manchu Wax (c0)', 'bugbear beanie (20)', 'bugbear bungguard (20)', 'Orcish meat locker (25)', 'rusty metal ring (25)', 'rusty metal shaft (25)', 'dope gangsta bling-bling (10)', 'out-of-tune biwa (10)', 'terrible poem (20)']"
The Skeleton Store,2,"['really thick spine (0)', 'oversized skullcap (0)', 'three-legged pants (0)', 'skeleton bone (0)', 'loose teeth (0)', 'alien autoautopsy kit (c0)', 'cherry (0)', 'cherry (0)', 'grapefruit (0)', 'grapefruit (0)', 'orange (0)', 'orange (0)', 'strawberry (0)', 'strawberry (0)', 'lemon (0)', 'lemon (0)', 'novelty fruit hat (c0)', 'skeleton bone (0)', 'remaindered axe (0)', 'low-budget shield (0)', 'half of a gold tooth (0)', 'mouse skull (0)', 'loose teeth (0)', 'check to the Meatsmith (c100)', 'invisibility cream (c0)', 'fleshy lump (c100)']"
The Sleazy Back Alley,2,"['spider web (25)', 'spider web (25)', 'spider web (25)', 'spider web (25)', 'bum cheek (32)', 'Mad Train wine (30)', 'moxie weed (15)', 'dented harmonica (15)', 'cheap cigar butt (p60)', 'folder (magenta) (c0)', 'dirty hobo gloves (32)', 'Mad Train wine (60)', 'moxie weed (15)', 'Boozehounds Anonymous token (p10)', 'beer-battered accordion (a0)', 'dirty hobo gloves (32)', 'Mad Train wine (60)', 'moxie weed (15)', 'Boozehounds Anonymous token (p10)', 'crazy bastard sword (100)']"
The Slime Tube,2,"['slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'tiny slimy cyst (n5)', 'wad of slimy rags (n1)', 'slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'tiny slimy cyst (n5)', 'slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'small slimy cyst (n5)', 'slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'medium slimy cyst (n2)', 'slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'big slimy cyst (n2)', 'hardened slime belt (0)', 'hardened slime hat (0)', 'hardened slime pants (0)', 'slime-soaked brain (0)', 'slime-soaked hypophysis (0)', 'slime-soaked sweat gland (0)', 'slimy alveolus (0)', 'chamoisole (n5)', 'caustic slime nodule (0)', 'caustic slime nodule (0)', 'squirming Slime larva (0)', 'crayon shavings (100)', 'slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'tiny slimy cyst (n5)', 'slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'small slimy cyst (n5)', 'slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'medium slimy cyst (n2)', 'slimy sweetbreads (5)', 'slimy fermented bile bladder (5)', 'big slimy cyst (n2)', 'hardened slime belt (0)', 'hardened slime hat (0)', 'hardened slime pants (0)', 'slime-soaked brain (0)', 'slime-soaked hypophysis (0)', 'slime-soaked sweat gland (0)', 'slimy alveolus (0)', 'chamoisole (n5)', 'caustic slime nodule (0)', 'caustic slime nodule (0)', 'squirming Slime larva (0)']"
Post-War Junkyard,2,"['gremlin juice (3)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'gremlin juice (3)', 'molybdenum hammer (c0)', 'gremlin juice (3)', 'molybdenum crescent wrench (c0)', 'gremlin juice (3)', 'molybdenum crescent wrench (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'gremlin juice (3)', 'molybdenum pliers (c0)', 'gremlin juice (3)', 'molybdenum screwdriver (c0)', 'gremlin juice (3)', 'molybdenum screwdriver (c0)']"
Outskirts of Camp Logging Camp,2,"['pine tar (20)', 'shaving cream (20)', 'poutine (40)', 'forest tears (30)', 'forest spirit rattle (c0)']"
The Putrid Swamp,2,['Rubee&trade; (n100)']
The Sprawling Cemetery,2,"['Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'ghost thread (c0)', 'Rubee&trade; (n100)']"
The Icy Peak,2,"['yeti fur (30)', 'yeti fur (30)', 'yeti fur (0)', 'crazy little Turkish delight (25)', 'ga-ga radio (5)', 'Snow Queen Crown (5)', 'ram horns (5)', 'ram stick (5)', ""Ram's Face Lager (30)"", 'Dallas Dynasty Falcon Crest shield (100)', 'burnt snowpants (c100)']"
Wartime Frat House (Hippy Disguise),2,"['distressed denim pants (5)', 'bejeweled pledge pin (5)', 'beer helmet (5)', 'distressed denim pants (10)', 'bejeweled pledge pin (10)', 'beer helmet (10)', 'flask flops (0)']"
Wartime Frat House,2,"['bullet-proof corduroys (30)', 'reinforced beaded headband (30)', 'round purple sunglasses (30)']"
Frat House,2,"['ice-cold Sir Schlitz (20)', 'ice-cold fotie (20)', 'Orcish baseball cap (5)', 'deodorant (5)', 'roofie (25)', 'packet of beer nuts (p15)', 'bottle of gin (20)', 'ice-cold Sir Schlitz (20)', 'Orcish cargo shorts (5)', 'deodorant (5)', 'packet of beer nuts (p15)', 'bottle of vodka (20)', 'Orcish frat-paddle (5)', 'ice-cold Sir Schlitz (20)', 'deodorant (5)', 'frilly skirt (0)', 'packet of beer nuts (p15)']"
Madness Bakery,2,"['wad of dough (0)', 'wad of dough (0)', 'magical baguette (0)', 'wad of dough (0)', 'glob of enchanted icing (0)', 'ginger snaps (0)', 'cr&ecirc;epy mask (0)', 'wad of dough (0)', 'smoldering bagel punch (c100)']"
Cobb's Knob Treasury,2,"['flimsy clipboard (15)', 'meat stack (25)', 'accordion file (a0)', 'hill of beans (50)', 'Knob Goblin visor (5)', 'stolen office supplies (10)', 'baggie of powdered sugar (15)', 'meat stack (25)', 'meat stack (5)', 'Knob Goblin visor (0)', 'meat stack (0)', 'meat stack (0)', 'meat stack (0)', 'meat stack (0)', ""embezzler's oil (c0)"", 'incredibly dense meat gem (100)', ""Mr. Screege's spectacles (c100)""]"
Camp Logging Camp,2,"['poutine (30)', 'disbelief suspenders (10)', 'jack flapper (10)', 'manly bloomers (p15)', 'balaclava (5)', 'balaclava baklava (25)', 'Blatantly Canadian (30)', 'maple syrup (30)', 'supportive bra (c20)', 'los chinos (5)', 'leaflet (15)', 'wooden axe (5)', 'hockey stick of furious angry rage (100)']"
A Barroom Brawl,2,"['bottle of whiskey (20)', 'bottle of whiskey (20)', 'ice-cold fotie (20)', 'ice-cold Sir Schlitz (20)', 'ice-cold Willer (20)', 'flask flops (0)', 'beer-soaked mop (10)', 'ice-cold Willer (30)', 'ice-cold Willer (30)', 'beer lens (c25)', 'margarita (10)', 'sangria (10)', 'strawberry daiquiri (10)', 'tequila with training wheels (10)', ""mama's squeezebox (a0)""]"
Through the Spacegate,2,"['edible alien plant bit', 'alien plant fibers', 'alien plant goo', 'edible alien plant bit', 'edible alien plant bit', 'alien plant fibers', 'alien plant fibers', 'alien plant goo', 'edible alien plant bit', 'edible alien plant bit', 'edible alien plant bit', 'alien plant fibers', 'alien plant fibers', 'alien plant fibers', 'alien plant goo', 'alien plant pod', 'edible alien plant bit', 'edible alien plant bit', 'alien plant fibers', 'alien plant fibers', 'alien plant goo', 'edible alien plant bit', 'edible alien plant bit', 'edible alien plant bit', 'alien plant fibers', 'alien plant fibers', 'alien plant fibers', 'alien plant goo', 'alien plant pod', 'alien meat', 'alien toenails', 'alien animal goo', 'alien meat', 'alien meat', 'alien toenails', 'alien toenails', 'alien animal goo', 'alien meat', 'alien meat', 'alien meat', 'alien toenails', 'alien toenails', 'alien toenails', 'alien animal goo', 'alien animal milk', 'spant chitin', 'spant chitin', 'spant tendon', 'spant tendon', 'spant chitin', 'spant chitin', 'spant tendon', 'spant tendon', 'spant spear', 'murderbot component casing', 'murderbot monofilament', 'murderbot monofilament', 'murderbot power cell', 'murderbot power cell', 'murderbot memory chip', 'murderbot component casing', 'murderbot component casing', 'murderbot monofilament', 'murderbot monofilament', 'murderbot power cell', 'murderbot power cell', 'murderbot memory chip', 'murderbot memory chip', 'murderbot memory chip', 'murderbot plasma rifle']"
Wartime Hippy Camp,2,"['beer helmet (30)', 'distressed denim pants (30)', 'bejeweled pledge pin (30)']"
Itznotyerzitz Mine,2,"[""miner's helmet (9)"", '7-Foot Dwarven mattock (9)', ""miner's pants (9)"", ""miner's helmet (30)"", ""miner's pants (30)"", '7-Foot Dwarven mattock (30)']"
The Roulette Tables,2,[]
